Abbreviation,Name
CIMC Flight B.V (Dutch）,CIMC Flight B.V (Dutch）
众联产学研,深圳众联产学研科技有限公司
天达富诚,中集天达富诚航空设备成都有限公司
上海金盾,上海金盾特种车辆装备有限公司
沈阳捷通,沈阳捷通消防车有限公司
舜盾科技,上海舜盾科技有限公司
消防服务,中集天达消防技术服务有限公司
沈阳锐达,沈阳锐达消防装备制造有限公司
抚顺顺达,抚顺顺达消防制造有限公司
融资租赁,中集融资租赁有限公司
Financial Leasing（HK）,CIMC Financial Leasing (Hong Kong) Ltd
Cimc leasing USA,Cimc leasing USA INC.
扬州嘉阳资产,扬州市嘉阳资产管理有限公司
Ready Media,Ready Media Limited
Smart Pathfinder,Smart Pathfinder Limited
Starry Result,Starry Result Limited
Powerlead Holdings,Powerlead Holdings Ltd 
Perfect victor investments,PERFECT VICTOR INVESTMENTS LIMITED 
Alltime Services,Alltime Services Ltd
Concept Fortune,Concept Fortune Ltd
Concept Treasure,Concept Treasure Ltd
Fort Frontier,Fort Frontier Ltd
Noble Dragon Inv,Noble Dragon Inv Ltd
Wealth Frontier,Wealth Frontier Ltd
扬州德昌元,扬州德昌元运输有限公司
青岛德昌元,青岛德昌元运输有限公司
芜湖市德昌元,芜湖市德昌元道路运输有限公司
前海融资租赁,中集前海融资租赁（深圳）有限公司
Able Luck Global,Able Luck Global Limited
Advance Matrix,Advance Matrix Limited
Chosen Partner Inv,Chosen Partner Investments Limited
City Horizon Enterprises,City Horizon Enterprises Limited
Maxluck Global,Maxluck Global Limited
Perfect Day Enterprises,Perfect Day Enterprises Limited
Rainbow High Enterprises,Rainbow High Enterprises Limited
Super Precise,Super Precise Limited
True Champion Enterprises,True Champion Enterprises Limited
Ultimate Idea Holdings,Ultimate Idea Holdings Limited
Leasing transportation,CIMC Leasing transportation Limited
厦门弘信博格,厦门弘信博格融资租赁有限公司
厦门弘集,厦门弘集贸易有限公司
香港弘集,弘集（香港）集装箱发展有限公司
天津弘信博格,天津滨海新区弘信博格融资租赁有限公司
Great Speed Financial Leasing,Great Speed Financial Leasing Limited
郑州恒润能源,郑州恒润能源有限责任公司
Gretha Coöperatief U.A.,Gretha Coöperatief U.A.
中集永骏,中集永骏（天津）融资租赁有限公司
中集永业,中集永业（天津）融资租赁有限公司
中集永兴,中集永兴（天津）融资租赁有限公司
中集永隆,中集永隆（天津）融资租赁有限公司
Option Best Investments,Option Best Investments Limited
Sky Investor,Sky Investor Limited
Symbol Success Investments,Symbol Success Investments Limited
Victor Token,Victor Token Limited
Genius Explorer,Genius Explorer Limited
CIMC Capital(Australia) Pty ,CIMC Capital(Australia) Pty Ltd
Genius Explorer Mangement,GENIUS EXPLORER MANAGEMENT LIMITED
CIMC Glasswork,CIMC Glasswork Limited
Dynamic,CIMC Dynamic Limited
Trafford,CIMC Trafford Limited
Manchester,CIMC Manchester Limited
,Eternal Manner Limited
,Eternal Path Development Limited
,Precise Fort Development Limited
,Precise Noble Limited
Sharp Path,Sharp Path Development Limited
,First New Horizon Owner Limited 
,Second New Horizon Owner Limited 
,Third New Horizon Owner Limited 
,Fourth New Horizon Owner Limited 
中集永发,中集永发（天津）融资租赁有限公司
Eternal Finder,Eternal Finder Limited
Sound Noble,Sound Noble Limited
Sound Path,Sound Path Development Limited
天津永旺,天津永旺机械设备租赁有限公司
天津集盛,天津集盛机械设备租赁有限公司
天津集顺,天津集顺机械设备租赁有限公司
天津集祥,天津集祥机械设备租赁有限公司
Maxluck Champion,Maxluck Champion Limited
MaxLuck Plus,MaxLuck Plus Limited
Maxluck Fort,Maxluck Fort Limited
Brilliant Manner,Brilliant Manner Limited
Brilliant Noble,Brilliant Noble Limited
Brilliant Park,Brilliant Park Limited
Brilliant Pathfinder,Brilliant Pathfinder Limited
Lush Advance,Lush Advance Limited
Lush Treasury,Lush Treasury Limited
Lush Resource,Lush Resource Limited
Lush Universal,Lush Universal Limited
Lush Symbol,Lush Symbol Limited
Lush Finder,Lush Finder Limited
Leith Hill,Leith Hill Limited
Platinum Haze,Platinum Haze Limited
Roydon Mount,Roydon Mount Limited
First Smart D2,First Smart D2 Limited
First Smart Westhill,First Smart Westhill Limited
Second Smart D2,Second Smart D2 Limited
Second Smart Westhill,Second Smart Westhill Limited
Third Smart D2,Third Smart D2 Limited
Third Smart Westhill,Third Smart Westhill Limited
Bright Prometheus,Bright Prometheus Limited
Bright Athena,Bright Athena Limited
Bright Apollo,Bright Apollo Limited
Bright Symbol,Bright Symbol Limited
Bright Poseidon,Bright Poseidon Limited
Geryncon,Geryncon UG (haftungsbeschränt)
Gerchicon,Gerchicon UG (haftungsbeschränkt)
Geryaocon,Geryaocon UG(hftgsb.)& Co KG
Gerecon,Gerecon UG(hftgsb.)& Co KG
Geroncon,Geroncon UG(hftgsb.)& Co KG
Gertiecon,Gertiecon UG(hftgsb.)& Co KG
Gerfucon,Gerfucon UG(hftgsb.)& Co KG
Gerdecon,Gerdecon UG(hftgsb.)& Co KG
Grace Advance,Grace Advance Limited
Grace Plus,Grace Plus Limited
Grace Pathfinder,Grace Pathfinder Limited
Grace Treasury,Grace Treasury Limited
Grace Splendor,Grace Splendor Limited
Grace Symbol,Grace Symbol Limited
Qianhai Financial Leasing (Singapore),CIMC Qianhai Financial Leasing (Singapore) Pte Ltd
Sinrecon,Sinrecon Pte Ltd
Sinchicon,Sinchicon Pte Ltd
Sinicon,Sinicon Pte Ltd
Splendor Advance,Splendor Advance Limited
Splendor Plus,Splendor Plus Limited
Splendor Pathfinder,Splendor Pathfinder Limited
Splendor Treasury,Splendor Treasury Limited
Splendor Symbol,Splendor Symbol Limited
Splendor Result,Splendor Result Limited
Propitious Advance,Propitious Advance Limited
Propitious Pathfinder,Propitious Pathfinder Limited
Propitious Treasury,Propitious Treasury Limited
Propitious Symbol,Propitious Symbol Limited
Propitious Development,Propitious Development Limited
Propitious Result,Propitious Result Limited
Propitious Horizon,Propitious Horizon Limited
Rosy Plus,Rosy Plus Limited
Rosy Pathfinder,Rosy Pathfinder Limited
Rosy Treasury,Rosy Treasury Limited
Rosy Symbol,Rosy Symbol Limited
Joyful Advance,Joyful Advance Limited
Joyful Pathfinder,Joyful Pathfinder Limited 
Joyful Treasury,Joyful Treasury Limited
Joyful Plus,Joyful Plus Limited
Joyful Symbol,Joyful Symbol Limited
Joyful Development,Joyful Development limited
Joyful Result,Joyful Result limited
舟山长宏,舟山长宏国际船舶修造有限公司
上海海工院,中集船舶海洋工程设计研究院有限公司
科曼德,COMMNADER SHIPPING LIMITED
CIMC Qianhai Hongkong,"CIMC Qianhai Commerce&Trading Co.,Limited"
Ocean Pathfinder ,Ocean Pathfinder Limited
Ocean Treasury,Ocean Treasury Limited
Ocean Symbol,Ocean Symbol Limited
Ocean Result ,Ocean Result Limited
Ocean Horizon ,Ocean Horizon Limited
Golden Pathfinder ,Golden Pathfinder Limited
Golden Symbol ,Golden Symbol Limited
Golden Result ,Golden Result Limited
财务公司,中集集团财务有限公司
红树资本,红树资本环球有限公司（Mangrove Capital Limited）
红树基金,红树基金管理（深圳）有限责任公司
红树竟成,深圳红树竟成创业投资合伙企业（有限合伙）
中集产城,深圳市中集产城发展集团有限公司
中集骏宇,深圳市中集骏宇置业有限公司
东莞产业园,东莞中集创新产业园发展有限公司
东莞市云创业,东莞市中集云创业产业园投资管理有限公司
江门云创,江门中集云创管理有限公司
阳江地产,阳江市中集房地产开发有限公司
青岛产业园,青岛中集创新产业园发展有限公司
扬州天宇,扬州中集天宇投资有限公司
扬州宏宇,扬州中集宏宇置业有限公司
扬州达宇,扬州中集达宇置业有限公司
镇江润宇,镇江中集润宇置业有限公司
华宇酒店,扬州中集华宇酒店投资有限公司
望月楼管理,深圳市望月楼酒店管理有限公司
深圳物业,深圳市中集物业服务有限公司
东莞物业,东莞中集物业服务有限公司
阳江物业,阳江市中集物业服务有限公司
江门市天宇物业,江门市中集天宇物业管理有限公司
扬州天宇物业,扬州中集天宇物业管理有限公司
扬州物业,扬州中集物业服务有限公司
镇江物业,镇江市中集物业服务有限公司
集创产业园,深圳集创产业园运营管理有限公司
信汇益金,深圳市信汇益金投资合伙企业（有限合伙）
辰宇投资,深圳市辰宇投资发展有限公司
东莞菁英公寓,东莞中集菁英公寓管理有限公司
扬州商管,扬州中集文昌商业中心管理有限公司
星联科技,深圳市中集星联科技有限公司
中集低轨,深圳市中集低轨卫星物联网产业园发展有限公司
东莞同裕,东莞市同裕城市更新产业发展有限公司
东莞正易,东莞市正易投资有限公司
深圳智城,深圳市中集智城企业发展有限公司
产城投资,深圳市中集产城投资发展有限公司
上海智城,上海中集智城企业发展有限公司
上海菁鹰,上海中集菁鹰置业有限公司
上海智飞,上海智飞置业有限公司
天集投资,深圳市天集产城投资发展有限公司
南京天集,南京天集产城发展有限公司
东莞天集,东莞市天集科技产业园有限公司
集达发展,深圳市集达发展有限公司
集宏投资,深圳市集宏投资有限公司
集盛发展,深圳市集盛发展有限公司
集星发展,深圳市集星发展有限公司
集宇发展,深圳市集宇发展有限公司
集远投资,深圳市集远投资有限公司
前海中碧,深圳前海中碧产城发展有限公司
曲靖中碧,曲靖市中碧瑞房地产开发有限公司
商启置业,深圳市商启置业有限公司
乐艺置业,深圳市乐艺置业有限公司
太子湾商融,深圳市太子湾商融置业有限公司
太子湾商泰,深圳市太子湾商泰置业有限公司
辰宇公寓,东莞辰宇公寓管理有限公司
顺德宏炬,佛山顺德宏钜科技产业发展有限公司
扬州集创,扬州集创产业园发展有限公司
国兆粤顺,广州国兆粤顺投资有限公司
南京高投,南京高投科技产业招商发展有限公司
东莞集智,东莞市集智产业园发展有限公司
东莞集泓,东莞市集泓产业园发展有限公司
东莞集润,东莞市集润产城发展有限公司
东莞瑞集,东莞市瑞集产城发展有限公司
前海集城,前海集城实业发展（深圳）有限公司
扬州集智,扬州集智房地产有限公司
泰宇置业,东莞泰宇置业有限公司
集金物业,上海集金物业服务有限公司
中碧物业,深圳市中碧物业服务有限公司
中山天集,中山市天集科技产业发展有限公司
天集湘投,深圳市天集湘投投资发展有限公司
天集和盛,深圳市天集和盛投资发展有限公司
碧集智谷,深圳市碧集智谷投资发展有限公司
农银树仁,深圳中集农银树仁投资合伙企业（有限合伙）
长沙天集,长沙市天集容德地产开发有限公司
集平产城,深圳市集平产城发展有限公司
前海分公司,深圳市中集物业服务有限公司前海分公司
中集申发                                     ,中集申发建设实业有限公司                                     
上海丰扬,上海丰扬房地产开发有限公司
智荟分公司,深圳市中集物业服务有限公司智荟运营分公司
菁英家园,深圳市中集物业服务有限公司菁英家园客户服务中心
模块化设计,中集模块化建筑设计研发有限公司
载具控股,中集载具控股有限公司
中集多式联运,中集多式联运发展有限公司
东莞中集多式联运,东莞中集麦田联合多式联运有限公司
Global Pacific,Global Pacific Link Limited 
CIDC USA,CIMC Intermodal Development USA Co
中集优拼,深圳中集优拼科技有限公司
CGIC,江门中集广珠多式联运有限公司
大连中集,大连中集特种物流装备有限公司
大连物流,大连中集物流装备有限公司
天津物流装备,天津中集物流装备有限公司
天津康德,天津康德物流设备有限公司
苏州良才,苏州良才物流科技股份有限公司
良才塑胶,苏州良才塑胶有限公司
良才新材料,苏州工业园区良才新材料有限公司
苏州智物,苏州智物数字科技有限公司
苏州驭云,苏州驭云信息技术服务有限公司
苏州慷保,苏州慷保供应链管理有限公司
才智物流,苏州才智物流装备有限公司
广州良才,广州良才包装设备有限公司
吉林渤良,吉林省渤良物流装备有限责任公司
长春陆晟,长春陆晟物流装备科技有限公司
重庆长良,重庆长良物流科技有限公司
中集易租,深圳中集易租科技有限公司
中集天晟,北京中集天晟科技有限公司
佛山物流,佛山中集物流装备有限公司
上海新之途,上海新之途物流有限公司
沈阳物流,沈阳中集物流装备有限公司
广西物流,广西南方中集物流装备有限公司
瑞集物流,瑞集物流（芜湖）有限公司
中集智慧托盘,深圳中集智慧托盘有限公司
模块化建筑投资,中集模块化建筑投资有限公司
广东建筑制造,广东中集建筑制造有限公司Guangdong CIMC building construction Co. Ltd 
MBS （HK）,CIMC MBS Hong Kong Limited
EVERISE,EVERISE CAPITAL PTY LTD
GLOBAL,GLOBAL PLUS PTY LTD
HARVEST,HARVEST AVENUE PTY LTD
模块化建筑（澳洲）,中集模块化建筑（澳洲）有限公司CIMC Modular Building Systems (Australia) Pty Ltd 
Verbus International（Verbus）,Verbus International Limited
Verbus Systems,CIMC MBS LIMITED
CIMC Developments,CIMC DEVELOPMENTS LTD
CIMC MBS,VERBUS SYSTEMS LTD
Development Australia,CIMC Development (Australia) Pty Ltd
Adventure,Adventure Explorer Limited
Allpro ,Allpro Investment Limited
Innovate,Innovate Alliance Limited
Bluepicture,Bluepicture Investment Limited
Sharp,Sharp Finder Limited
新会木业公司,"新会中集木业有限公司 
XIN HUI CIMC WOOD CO.LTD .
"
CIMC Westhill,CIMC Westhill Limited
Sharp Manner,Sharp Manner Limited
Sharp Noble,Sharp Noble Limited
深圳设计院,深圳市中集建筑设计院有限公司
集酷股份,北京集酷文化股份有限公司
Bayone,Bayone Corporation
智能科技,深圳中集智能科技有限公司
中集科技,深圳中集科技有限公司
东莞智能科技,东莞中集智能科技有限公司
深圳移动物联国际,深圳中集移动物联国际运营服务有限公司
深圳华大智能科技,深圳中集华大智能科技有限公司
广州中浩控制技术,广州中浩控制技术有限公司
超级蓝领,深圳市超级蓝领网络科技服务有限公司
中弘,深圳中弘装备科技有限公司
香港智能,中集智能（香港）有限公司
中集汇杰,深圳中集汇杰供应链有限公司
共享后勤,深圳中集共享后勤服务有限公司
粤莞先进制造基金,粤莞先进制造产业（东莞）股权投资基金（有限合伙）
中集瑞恒,珠海市中集瑞恒基金管理有限公司
中集装备科技,中集装备科技有限公司
集家美寓,深圳市集家美寓公寓管理有限公司
中集资本控股,中集资本控股有限公司
中集资本管理,中集资本管理有限公司
中集资本国际,"CIMC CAPITAL(INTERNATIONAL)CO.,LIMITED 中集资本国际有限公司"
中集安防,中集安防科技有限公司
中集保理,中集商业保理有限公司
CIMC GROUP,中国国际海运集装箱(集团)股份有限公司China International Marine Containers (Group) Ltd.
CIMC HK,中国国际海运集装箱(香港)有限公司China International Marine Containers (HK) Ltd.
Grow Rapid,Grow Rapid Limited
Maxshine,Maxshine Enterprises Limited
Goldbird Holding（GH）,Goldbird Holding Inc. (B.V.I.) 
Polyearn,Polyearn Development Corp.
创加有限公司,创加有限公司(Creation Charter Limited)
Sharp Vision ,Sharp Vision Holding Limited
True Power,True Power Holdings Limited
Coop CIMC UA,COOPERATIE CIMC U.A
中集管理培训,中集管理培训(深圳)有限公司
深圳中集投资,深圳市中集投资有限公司
宁波西马克贸易,宁波西马克贸易有限公司
北海银,北海银建投资股份有限公司
广东三星,广东三星企业集团股份有限公司
交银施罗德,交银施罗德基金管理有限公司
中铁联合国际,中铁联合国际集装箱有限公司
银路投资（BVI）,"SILVEROAD INVESTMENT LIMITED
银路投资有限公司 "
Silvergreen Holding GmbH,CIMC Silvergreen Holding GmbH
CIMC Europe BVBA,CIMC Europe B.V.B.A. 
BURG,CIMC Burg B.V.
Burg Industries,Burg Industries BV
"Beheermaatschappij ""Burg""","Beheermaatschappij ""Burg"" B.V."
Silvergreen GmbH,CIMC Silvergreen GmbH
Hobur Twente BV,Hobur Twente BV
B.V. Trailer Leasing,B.V. Trailer Leasing Company
Burg Trailers BV,Burg Trailers BV
Silvergreen Immobilen GmbH,Burg Silvergreen Immobilen GmbH（Burg Immobilen gmbl改名后）
SG Trailers Netherlands B.V.,SG Trailers Netherlands B.V.
SG TRAILERS BELGIUM,SG TRAILERS BELGIUM   
Silvergreen Germany GmbH,CIMC Silvergreen Germany GmbH
Fortune,CIMC FORTUNE HOLDINGS LIMITED
首中投资,首中投资管理有限公司
大连重化,大连中集重化装备有限公司
杭州映合,杭州映合投资管理合伙企业（有限合伙）
创智联诚,宁波梅山保税港区创智联诚投资管理合伙企业（有限合伙）
中集同创,深圳中集同创供应链有限公司
前海同创,深圳前海同创新金属材料有限公司
同创浦江,中集同创浦江（上海）贸易有限公司
同创长江,中集同创长江（舟山）贸易有限公司
同创香江,中集同创香江（香港）贸易有限公司
中集睿德信,横琴中集睿德信创新创业投资基金（有限合伙）
东莞集望产业园,东莞集望产业园有限公司
GTA,Gold Terrain Assets Limited   
Supercrown Enterprise,Supercrown Enterprise Inc.(B.V.I.) 
银路投资（HK）,"Silveroad Investment (HK) limited
银路投资（香港）有限公司 "
银路木业,"Silveroad Wood Products （Cambodia）Limited
银路木业（柬埔寨）有限公司 "
Topco Forestry N.V.(Suriname) ,Topco Forestry N.V.(Suriname) 
重庆中集,中集（重庆）物流装备制造有限公司
冷链科技,深圳市中集冷链科技有限公司
冷链发展,中集冷链发展有限公司
中集麒谷,深圳前海中集麒谷投资有限公司
翌科新材料,南通中集翌科新材料开发有限公司
天亿投资,深圳天亿投资有限公司
天亿合伙,深圳市中集天亿股权投资管理合伙企业（有限合伙）
江苏锐成,江苏锐成机械有限公司
路演中,深圳市路演中网络科技有限公司
成都以达,成都以达通信设备有限公司
利华能源,利华能源储运股份有限公司
中亿新威,四川中亿新威能源有限公司
云洲智能,珠海云洲智能科技有限公司
美心翼申,重庆美心翼申机械股份有限公司
 ,上海商桥供应链顾服务有限公司
松泉投资,深圳松泉投资有限公司
天翔投资,新余市天翔投资管理合伙企业（有限合伙）
天高投资,新余市天高投资管理合伙企业（有限合伙）
中集海工投资公司,深圳中集海工投资有限公司
Windpower Ventures,Windpower Ventures Limited
CIMC Bluewhale Rig,CIMC Bluewhale Rig Limited （原名称Frigstad  Deepwater Limited）
CIMC Bluewhale Rig I,CIMC Bluewhale Rig I Limited（原名称Frigstad  Deepwater Alfa Limited）
CIMC Bluewhale Rig II,CIMC Bluewhale Rig II Limited（原名称 Frigstad  Deepwater Beta Limited）
CIMC Transportation,CIMC Transportation Equipment (International) Holdings Limited
Mindframe Inv,Mindframe Investments Limited
Isle Horizon,Isle Horizon  Limited
Smart Coin,Smart Coin Limited
Prometheus Coöperatief U.A.,Prometheus Coöperatief U.A.
Gretha Venture B.V.,Gretha Venture B.V.
CIMC OOS GRETHA B.V.,CIMC OOS Gretha B.V.
EFFECTIVE TIME,Effective Time Investments Limited
Highyield Capital,Highyield Capital Limited
NORTH SEA RIGS HOLDINGS,North Sea Rigs Holdings Ltd
Ocean Beacon,Ocean Beacon Limited
Beacon holdings Group,Beacon Holdings Group Ltd
Fine Edge Ventures,Fine Edge ventures Limited
Beacon Pacific Group,Beacon Pacific Group Ltd.
中集水投,共青城中集水投环保产业投资合伙企业（有限合伙）
上海商桥,上海商桥供应链服务有限公司
逗号科技,深圳逗号互联科技有限公司
银隆新能源,银隆新能源股份有限公司
沸创医疗,杭州沸创医疗科技有限公司
